scenario,method,Bias,RMSE,Coverage,Mean_SE,CI_Width
"Low Het, No Bias",REML,0.000119058008880045,0.0554671213145323,93.1,0.0552527364045941,0.216586746800579
"Low Het, No Bias",HKSJ,0.000119058008880045,0.0554671213145323,95,0.0530970141759079,0.240227581882456
"Low Het, No Bias",MWM,-0.00025819999999999,0.0567286120048781,93.9,0.0568602,0.2228983
"Low Het, No Bias",ARP,0.000104500000000011,0.0554546031452755,93.2,0.0549963,0.2155834
"Low Het, No Bias",SIT,0.00016800000000001,0.058676356226337,94.6,0.0600317,0.2353182
"Low Het, No Bias",UBSF,0.000452100000000011,0.0577661737524652,93,0.0558124,0.2187826
"Low Het, No Bias",EMA,0.000114100000000011,0.055547580415352,94.3,0.05772,0.2262645
"High Het, No Bias",REML,0.000777207772266143,0.15529811843588,91.1,0.152283051238764,0.596938591767689
"High Het, No Bias",HKSJ,0.000777207772266143,0.15529811843588,95.1,0.152188394807929,0.688548134819034
"High Het, No Bias",MWM,-0.00627429999999999,0.160893224686436,91,0.1546025,0.6060319
"High Het, No Bias",ARP,0.000772400000000011,0.155299525433918,91.1,0.1522804,0.5969284
"High Het, No Bias",SIT,0.00024970000000001,0.157469594620676,91.1,0.1531891,0.6005032
"High Het, No Bias",UBSF,0.00136840000000001,0.156260670035681,92.7,0.1610897,0.6314631
"High Het, No Bias",EMA,-0.000747599999999989,0.154436297546917,92.4,0.1574887,0.6173516
"Low Het, Pub Bias",REML,0.0505313436491359,0.0681283028989417,81.8,0.0479522196556553,0.187969247007676
"Low Het, Pub Bias",HKSJ,0.0505313436491359,0.0681283028989417,85,0.0455498919523272,0.204384308779765
"Low Het, Pub Bias",MWM,0.0548267,0.0721724531244436,80.9,0.0492969,0.1932385
"Low Het, Pub Bias",ARP,0.0505645,0.0681610159108563,81,0.0475779,0.1865052
"Low Het, Pub Bias",SIT,0.0578562,0.0764471905304571,81.3,0.0522249,0.2047222
"Low Het, Pub Bias",UBSF,0.0463784,0.0663854255089173,83.7,0.0485248,0.1902245
"Low Het, Pub Bias",EMA,0.0517902,0.0692085608866418,83.9,0.0502768,0.1970874
"High Het, Pub Bias",REML,0.248236017890836,0.287750182879493,50.3,0.136165606921274,0.53375937099747
"High Het, Pub Bias",HKSJ,0.248236017890836,0.287750182879493,59.7,0.135896847290517,0.635387605681062
"High Het, Pub Bias",MWM,0.2479717,0.288995743895996,49.9,0.1371895,0.5377758
"High Het, Pub Bias",ARP,0.2482303,0.287742985822418,50.5,0.1361903,0.5338543
"High Het, Pub Bias",SIT,0.255148122004248,0.292240377366615,49.2492492492493,0.137993079401434,0.540716116116116
"High Het, Pub Bias",UBSF,0.242885276240823,0.287686900643875,50.9547738693467,0.13934164317447,0.542655175879397
"High Het, Pub Bias",EMA,0.2481407,0.287735094401083,51.2,0.1392824,0.5459822
Small MA (k=5),REML,-0.00253158116579556,0.129278065365025,87.6,0.119529791001683,0.468548170885798
Small MA (k=5),HKSJ,-0.00253158116579556,0.129278065365025,93,0.116431356377033,0.646530539009109
Small MA (k=5),MWM,-0.00834319999999999,0.133430877311063,87.6,0.1229806,0.4820741
Small MA (k=5),ARP,-0.00252189999999999,0.129301404594072,87.3,0.1185966,0.464893
Small MA (k=5),SIT,-0.00241719999999999,0.133890330345399,89,0.1246535,0.4886418
Small MA (k=5),UBSF,-0.00308079999999999,0.131599489740652,89.4,0.1272744,0.4989223
Small MA (k=5),EMA,-0.00392349999999999,0.129052588699336,88.8,0.1250608,0.4902349
Large MA (k=30),REML,0.000401637226971962,0.0655696216411589,94.2,0.0667650749224451,0.261714284546222
Large MA (k=30),HKSJ,0.000401637226971962,0.0655696216411589,94.8,0.0668199588270221,0.273324320958225
Large MA (k=30),MWM,0.000202900000000012,0.0663632622013114,94.3,0.0669683,0.2625106
Large MA (k=30),ARP,0.00040050000000001,0.0655700435412392,94.3,0.0668009,0.2618576
Large MA (k=30),SIT,0.000635500000000011,0.0661106343185421,94.6,0.0673316,0.2639391
Large MA (k=30),UBSF,0.000261700000000011,0.0702623985500068,92.7,0.0672886,0.2637703
Large MA (k=30),EMA,0.000365100000000011,0.0657300203103574,94.5,0.0681582,0.2671818
Null Effect,REML,0.00173252664701033,0.0868140410920954,91.3,0.0852533709781008,0.33418707335542
Null Effect,HKSJ,0.00173252664701033,0.0868140410920954,94.6,0.0849918315718625,0.384529761139255
Null Effect,MWM,0.0028546,0.0910834429520536,93.2,0.0877901,0.3441358
Null Effect,ARP,0.0017455,0.0868185278036895,91.7,0.0852904,0.3343312
Null Effect,SIT,0.0011626,0.090000759885681,92.9,0.0875222,0.343087
Null Effect,UBSF,0.0028531,0.088950395333579,92.7,0.0912305,0.357622
Null Effect,EMA,0.0021373,0.086692554755296,95,0.0895767,0.3511392
Outlier Present,REML,0.0501130421014466,0.104446040437885,90.5,0.0983696523559325,0.385601951578707
Outlier Present,HKSJ,0.0501130421014466,0.104446040437885,94.9,0.0987039163773993,0.446567542858738
Outlier Present,MWM,0.0489754,0.104718102733004,90.5,0.0989599,0.3879213
Outlier Present,ARP,0.0501499,0.104442705968392,90.3,0.0986216,0.3865883
Outlier Present,SIT,0.0452452,0.105765898852135,90.4,0.1002544,0.3930003
Outlier Present,UBSF,0.053372,0.108015105147382,90.2,0.0991675,0.3887349
Outlier Present,EMA,0.0497816,0.104488204023229,91.1,0.1001384,0.3925479
