"Variable","Pearson_r","Pearson_CI","Pearson_p","Spearman_rho","Spearman_p"
"k",-0.0677,"[-0.095, -0.040]","1.35e-06",-0.2135,"1.58e-53"
"log_k",-0.1618,"[-0.188, -0.135]","3.5e-31",-0.2135,"1.58e-53"
"abs_theta",0.0386,"[0.011, 0.066]","5.93e-03",0.2961,"1.66e-103"
"sigma",0.0241,"[-0.003, 0.052]","8.5e-02",0.2532,"2.81e-75"
"log_sigma",0.2461,"[0.220, 0.272]","4.54e-71",0.2532,"2.81e-75"
"tau",-0.0208,"[-0.048, 0.007]","1.38e-01",0,"9.99e-01"
"log_tau",-0.1658,"[-0.192, -0.139]","1.09e-32",0,"9.99e-01"
"I2_proxy",-0.1685,"[-0.195, -0.142]","1.02e-33",-0.2862,"1.5e-96"
"snr",0.0516,"[0.024, 0.079]","2.32e-04",0.2018,"6.74e-48"
"precision",-0.1272,"[-0.154, -0.100]","8.31e-20",-0.2532,"2.81e-75"
